Gis_X;Gis_Y;Distrito;Barrio;Calle;Nº Finca;Color;Batería/Línea;Número de Plazas
439592,9100000000;4473566,2300000000;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;2;Verde;Línea;8
439569,0700000000;4473598,7700000000;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;8;Verde;Línea;5
439558,3500000000;4473470,4800000000;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;12;Verde;Línea;8
439536,4900000000;4473428,3200000000;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;17;Verde;Línea;4
439525,3600000000;4473404,2800000000;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;21;Verde;Línea;4
439575,4900000000;4473495,3400000000;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;8;Verde;Línea;3
439587,7600000000;4473916,8200000000;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;1;Verde;Línea;3
439600,5100000000;4473917,4700000000;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;2;Verde;Línea;2
439097,7700000000;4473640,6500000000;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;1;Verde;Línea;4
439090,0900000000;4473635,7900000000;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;2;Verde;Línea;1
439130,3200000000;4473643,9700000000;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;5;Verde;Línea;6
439129,0200000000;4473639,9300000000;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;6;Verde;Línea;13
439152,3900000000;4473645,9900000000;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;7;Verde;Batería;4
439773,7600000000;4473804,4100000000;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;12;Verde;Línea;4
439849,6700000000;4473828,1800000000;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;4;Verde;Línea;3
439820,4900000000;4473821,9700000000;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;6;Verde;Línea;1
439748,2900000000;4474317,8700000000;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;2;Verde;Línea;4
439710,6500000000;4474308,3400000000;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;5;Verde;Línea;3
439678,3200000000;4474300,6000000000;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;7;Verde;Línea;2
439667,2000000000;4474297,8100000000;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;9;Verde;Línea;2
439497,6700000000;4473483,1300000000;01  CENTRO;01-01 PALACIO;ANGEL, CALLE, DEL;19;Verde;Línea;2
439508,7600000000;4473490,0500000000;01  CENTRO;01-01 PALACIO;ANGEL, CALLE, DEL;19;Verde;Línea;1
439927,8100000000;4474538,2000000000;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;13;Verde;Línea;2
439933,2900000000;4474565,3200000000;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;20;Verde;Línea;4
439907,1800000000;4474462,7700000000;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;6;Verde;Línea;9
439920,1700000000;4474499,3300000000;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;9;Verde;Línea;4
439503,7800000000;4473785,7800000000;01  CENTRO;01-01 PALACIO;ANGOSTA DE LOS MANCEBOS, CALLE;1;Verde;Línea;1
439681,5900000000;4474534,2400000000;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;15;Verde;Línea;3
439674,4500000000;4474541,7500000000;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;17;Verde;Línea;1
439766,1000000000;4474459,9200000000;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;2;Verde;Línea;4
439708,4100000000;4474505,9000000000;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;7;Verde;Línea;2
439448,6600000000;4473937,1400000000;01  CENTRO;01-01 PALACIO;BAILEN, CALLE, DE;S/N;Verde;Línea;2
439352,9000000000;4473875,4500000000;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;1;Verde;Línea;2
439397,3600000000;4473898,5400000000;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;17
439295,4700000000;4473765,9500000000;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;17
439258,6500000000;4473849,9300000000;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;36
439724,6600000000;4473414,3500000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;1;Verde;Línea;3
439630,3200000000;4473424,6600000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;17;Verde;Línea;2
439595,5800000000;4473427,7300000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;21;Verde;Línea;8
439570,9100000000;4473438,1000000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;24;Verde;Línea;10
439562,1100000000;4473437,2600000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;29;Verde;Línea;6
439711,1100000000;4473415,6900000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;3;Verde;Línea;3
439515,9500000000;4473460,0600000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;30;Verde;Línea;11
439513,0700000000;4473457,4500000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;33;Verde;Línea;11
439472,8300000000;4473512,5900000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;Verde;Línea;13
439466,9500000000;4473513,3500000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;Verde;Línea;10
439481,7000000000;4473483,2000000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;Verde;Línea;3
439674,3600000000;4473419,5400000000;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;9;Verde;Línea;14
439835,7300000000;4474550,6600000000;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;13;Verde;Línea;4
439833,1800000000;4474566,9200000000;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;15;Verde;Línea;3
439809,6600000000;4474480,4600000000;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;4;Verde;Línea;3
439831,8500000000;4474522,8300000000;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;8;Verde;Línea;8
439883,7400000000;4474487,2000000000;01  CENTRO;01-01 PALACIO;CAÑOS DEL PERAL, CALLE, DE LOS;4;Verde;Línea;12
439503,7200000000;4473884,1100000000;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;2;Verde;Línea;7
439497,7300000000;4473883,3700000000;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;3;Verde;Línea;5
439837,3300000000;4473752,7400000000;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;15;Verde;Línea;12
439760,4300000000;4473710,6000000000;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;32;Verde;Línea;6
439725,4500000000;4473691,0800000000;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;Verde;Línea;2
439741,2500000000;4473700,0800000000;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;Verde;Línea;2
439727,4900000000;4473688,0800000000;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;Verde;Línea;2
439910,7400000000;4473770,3800000000;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;5;Verde;Línea;6
439886,9900000000;4473853,0100000000;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;12;Verde;Línea;1
439882,8800000000;4473844,1800000000;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;14;Verde;Línea;2
439869,3200000000;4473818,1700000000;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;18;Verde;Línea;2
