Gis_X;Gis_Y;Distrito;Barrio;Calle;Número de Finca;Matrícula
439607,989;4473548,993;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;1;301110056
439542,9897;4473439,356;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;15;301110063
439755,4202;4473791,384;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;13;301110042
439724,4731;4474317,372;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;6;301110014
439923,6811;4474528,889;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;11;301110012
439735,2317;4474489,959;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;8;301110010
439343,0307;4473875,826;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;2;301110031
439232,4395;4473811,933;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;3;301110032
439481,4057;4473477,409;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;301110046
439833,9635;4474515,843;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;8;301110011
439885,3223;4473783,409;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;6;301110041
439774,3871;4473741,008;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;34;301110045
439781,8785;4473598,55;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;301110058
439834,739;4473661,909;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;301110049
439819,5452;4473647,634;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;301110048
438968,1585;4474047,693;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;301120021
439153,1012;4474042,238;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;301120022
439752,7516;4473977,872;01  CENTRO;01-01 PALACIO;CORDON, PLAZA, DEL;3;301110030
439317,7117;4473348,222;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;301110069
439497,7119;4473698,467;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;12;301110044
439363,041;4473727,75;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;20;301110035
439628,3223;4474667,409;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;301110007
439693,318;4474587,814;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;2;301110009
