Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Matrícula
439607,9889975990;4473548,9927387400;28-05-14;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;1;301110056
439542,9896540000;4473439,3559270000;28-05-14;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;15;301110063
439755,4202090000;4473791,3837040000;27-05-14;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;13;301110042
439724,4730690000;4474317,3719490000;26-05-14;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;6;301110014
439923,6811090000;4474528,8892540000;26-05-14;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;11;301110012
439735,2317480000;4474489,9585980000;26-05-14;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;8;301110010
439343,0306642660;4473875,8260720700;27-05-14;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;2;301110031
439232,4395380000;4473811,9327590000;27-05-14;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;3;301110032
439481,4056642660;4473477,4094054000;28-05-14;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;301110046
439833,9635170000;4474515,8429580000;26-05-14;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;8;301110011
439885,3223309330;4473783,4094054000;27-05-14;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;6;301110041
439774,3871150000;4473741,0081750000;27-05-14;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;34;301110045
439781,8785430000;4473598,5503710000;28-05-14;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;301110058
439834,7389975990;4473661,9094054000;27-05-14;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;301110049
439819,5452090000;4473647,6337040000;27-05-14;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;301110048
439153,1012452810;4474042,2378287500;28-05-14;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;301120022
438968,1585284230;4474047,6933661300;01-07-14;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;301120021
439752,7516280000;4473977,8715310000;26-05-14;01  CENTRO;01-01 PALACIO;CORDON, PLAZA, DEL;3;301110030
439317,7116510000;4473348,2216780000;28-05-14;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;301110069
439497,7118760000;4473698,4670380000;27-05-14;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;12;301110044
439363,0409850000;4473727,7498540000;27-05-14;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;20;301110035
439628,3223309330;4474667,4094054000;26-05-14;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;301110007
439693,3179710000;4474587,8144370000;26-05-14;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;2;301110009
439815,9213810000;4474298,5999510000;26-05-14;01  CENTRO;01-01 PALACIO;ESCALINATA, CALLE, DE LA;9;301110013
439549,6247330000;4474178,1735170000;26-05-14;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;12;301110017
439718,1791390000;4474760,2235020000;26-05-14;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;16;301110004
439897,9673260000;4473827,6364790000;27-05-14;01  CENTRO;01-01 PALACIO;GRAFAL, CALLE, DE;07;301110040
439485,6702090000;4473409,5087040000;28-05-14;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;08;301110065
439438,2952090000;4473466,8837040000;28-05-14;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;17;301110061
439561,7897590000;4473267,0059290000;28-05-14;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;4;301110072
439529,7897590000;4473271,2559290000;28-05-14;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;7;301110073
439718,1449150000;4473601,4641750000;28-05-14;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;10;301110057
439724,2952090000;4473505,3837040000;28-05-14;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;13;301110059
439703,2389975990;4473689,4094054000;27-05-14;01  CENTRO;01-01 PALACIO;HUMILLADERO, PLAZA, DEL;5;301110036
439833,8088040000;4474770,9404620000;26-05-14;01  CENTRO;01-01 PALACIO;ISABEL LA CATOLICA, CALLE, DE;11;301110005
439629,3438770000;4474143,3902660000;26-05-14;01  CENTRO;01-01 PALACIO;JUAN DE HERRERA, CALLE, DE;5;301110018
439815,0708230000;4474702,9211610000;26-05-14;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;1;301110006
439736,5749650000;4474856,0854950000;26-05-14;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;22;301110003
439713,3511120000;4474899,9187230000;26-05-14;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;28;301110002
439670,2133160000;4474954,7315650000;26-05-14;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;47;301110001
439396,2081990000;4474068,6821420000;26-05-14;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;85;301110024
439327,6307972990;4474007,4675988800;30-08-16;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;S/N;301110023
439384,1246200000;4473815,0086650000;27-05-14;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;12;301110033
439512,5944390000;4473852,6048160000;27-05-14;01  CENTRO;01-01 PALACIO;MORERIA, PLAZA, DE LA;3;301110039
439596,3217400000;4474269,2357610000;26-05-14;01  CENTRO;01-01 PALACIO;NOBLEJAS, CALLE, DE;2;301110016
439621,3421548220;4473423,0387055200;28-05-14;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;1;301110064
439526,2831150000;4473772,5391750000;27-05-14;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;11;301110043
439340,4616510000;4473439,0550110000;28-05-14;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;21;301110062
439621,5506590000;4473863,6364790000;27-05-14;01  CENTRO;01-01 PALACIO;SAN ANDRES, COSTANILLA, DE;8;301110038
439417,0449840000;4473405,5550110000;28-05-14;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;13;301110066
439365,8004540000;4473644,2244730000;27-05-14;01  CENTRO;01-01 PALACIO;SAN BUENAVENTURA, CALLE, DE;4;301110051
439473,0306642660;4473601,5760720700;27-05-14;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;14;301110054
439599,9618760000;4473649,5503710000;27-05-14;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;2;301110050
439500,6702090000;4473595,5087040000;27-05-14;01  CENTRO;01-01 PALACIO;SAN ISIDRO LABRADOR, CALLE, DE;11;301110055
439703,7787670000;4473820,4406230000;27-05-14;01  CENTRO;01-01 PALACIO;SAN PEDRO, COSTANILLA, DE;10;301110034
439667,6323830000;4473907,8942800000;27-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;13;301110037
439415,3436490000;4473949,1348630000;26-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;23;301110027
439538,2025460000;4473951,3583260000;26-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;24;301110029
439316,9016010000;4473935,3773140000;26-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;29;301110026
439263,5484460000;4473950,9592980000;26-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;35;301110025
439073,2806642660;4473645,5760720700;27-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;23;301110052
439156,3223309330;4473454,0760720700;27-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;43;301110053
439219,1556642660;4473359,4510720700;28-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;55;301110068
439356,2811550000;4473286,1154680000;28-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;69;301110071
439479,5723309330;4473224,2427387400;28-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;85;301110075
439121,6752290000;4473762,8957790000;28-05-14;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;9;301110060
439922,1556642660;4474676,3260720700;26-04-14;01  CENTRO;01-01 PALACIO;SILVA, CALLE, DE;2;301110008
439649,2897590000;4473254,2975960000;29-05-14;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;106;301110074
439929,1556642660;4473723,8260720700;27-05-14;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;50;301110047
439315,4988990000;4474040,4991780000;01-07-14;01  CENTRO;01-01 PALACIO;VEGA, CUESTA, DE LA;1;301120020
439253,0677160000;4474038,7374520000;01-07-14;01  CENTRO;01-01 PALACIO;VEGA, CUESTA, DE LA;3;301120019
439454,6283180000;4473327,5550110000;28-05-14;01  CENTRO;01-01 PALACIO;VENTOSA, CALLE, DE LA;FRENTE 19;301110070
439685,0561090000;4474340,0559210000;26-05-14;01  CENTRO;01-01 PALACIO;VERGARA, CALLE, DE;9;301110015
439540,6985080000;4473987,0359070000;26-05-14;01  CENTRO;01-01 PALACIO;VILLA, CALLE, DE LA;2;301110028
439594,5452090000;4473328,8837040000;28-05-14;01  CENTRO;01-01 PALACIO;VIRGEN DE LA PALOMA, PLAZA, DE LA;5;301110067
439927,1851630000;4473440,6122180000;28-05-14;01  CENTRO;01-02 EMBAJADORES;AMAZONAS, CALLE, DE LAS;1;301210024
440529,0347270000;4473187,9190360000;30-05-14;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;87;301210057
440558,5110520000;4473124,0536650000;30-05-14;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;99;301210064
439770,6462550000;4473304,0500810000;29-05-14;01  CENTRO;01-02 EMBAJADORES;ARGANZUELA, CALLE, DE LA;FRENTE 12;301210036
440718,9889975990;4473280,9927387400;28-05-14;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;16;301210015
440948,2884120000;4473192,9362830000;30-05-14;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;30;301210060
440630,2212810000;4473311,6805300000;29-05-14;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;7;301210042
440802,5792030000;4473273,2122310000;29-05-14;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;FRENTE 22;301210052
441085,1556642660;4473489,9927387400;29-05-14;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;119;301210033
440424,6556642660;4473907,4510720700;28-05-14;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;35;301210006
440854,7937800000;4473129,5172630000;30-05-14;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;16;301210061
440520,8871110000;4473546,9684990000;28-05-14;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;32;301210019
440463,8119660000;4473671,7267400000;28-05-14;01  CENTRO;01-02 EMBAJADORES;CALVARIO, CALLE, DEL;27;301210014
439908,0508910000;4473148,5247830000;30-05-14;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;2;301210066
439834,3600790000;4473139,7446010000;29-05-14;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;8;301210053
440468,1067190000;4473823,8129580000;28-05-14;01  CENTRO;01-02 EMBAJADORES;CAÑIZARES, CALLE, DE LOS;6;301210007
439713,2192020000;4473222,7929500000;29-05-14;01  CENTRO;01-02 EMBAJADORES;CAPITAN SALAZAR MARTINEZ, CALLE, DEL;FRENTE 5;301210047
439893,2192020000;4473279,2389430000;29-05-14;01  CENTRO;01-02 EMBAJADORES;CARLOS ARNICHES, CALLE, DE;17;301210037
439996,8483450000;4473663,9107080000;28-05-14;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;1;301210013
440002,2865080000;4473502,2434570000;28-05-14;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;12;301210022
440180,0797400000;4473156,3642310000;30-05-14;01  CENTRO;01-02 EMBAJADORES;CASINO, CALLE, DEL;12;301210056
440007,1415150000;4473050,5316820000;30-05-14;01  CENTRO;01-02 EMBAJADORES;CASINO, CALLE, DEL;7;301210067
440052,8302660000;4473848,7498380000;27-05-14;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;10;301210002
440104,4496140000;4473826,7009390000;27-05-14;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;6;301210003
440211,6916650000;4473937,0729500000;27-05-14;01  CENTRO;01-02 EMBAJADORES;CONCEPCION JERONIMA, CALLE, DE LA;6;301210001
440204,4056642660;4473863,7010720700;28-05-14;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;7;301210004
440286,5306642660;4473869,7010720700;28-05-14;01  CENTRO;01-02 EMBAJADORES;DOCTOR CORTEZO, CALLE, DEL;7;301210005
440960,7706420000;4473333,1915880000;29-05-14;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;8;301210041
440779,7925400000;4473203,8592470000;30-05-14;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;FRENTE 20;301210059
440707,6613950000;4473359,1161000000;29-05-14;01  CENTRO;01-02 EMBAJADORES;DOCTOR PIGA, CALLE, DEL;5;301210040
440079,7402550000;4473695,8778250000;28-05-14;01  CENTRO;01-02 EMBAJADORES;DUQUE DE ALBA, CALLE, DEL;13;301210012
440032,3509350000;4473552,0655380000;28-05-14;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;4;301210021
440205,4799150000;4473328,7311750000;29-05-14;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;48;301210038
440344,9694660000;4473053,7197240000;30-05-14;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;70;301210065
440342,3563160000;4472989,5407760000;30-05-14;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, GLORIETA, DE;10;301210070
439985,7437190000;4473707,0328140000;28-05-14;01  CENTRO;01-02 EMBAJADORES;ESTUDIOS, CALLE, DE LOS;10;301210011
440604,9269490000;4473383,1320820000;29-05-14;01  CENTRO;01-02 EMBAJADORES;FE, CALLE, DE LA;10;301210039
440981,1095680000;4473283,8216180000;29-05-14;01  CENTRO;01-02 EMBAJADORES;HOSPITAL, CALLE, DEL;10;301210044
440389,9158600000;4473534,7436200000;28-05-14;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;32;301210020
440551,1556642660;4473771,4510720700;28-05-14;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;25;301210009
440390,3393940000;4473765,5397270000;28-05-14;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;8;301210008
440770,5419920000;4473098,3402750000;30-05-14;01  CENTRO;01-02 EMBAJADORES;MALLORCA, CALLE, DE;13;301210062
440946,9349840000;4473534,0072780000;29-05-14;01  CENTRO;01-02 EMBAJADORES;MARQUES DE TOCA, CALLE, DEL;1;301210029
440519,0002330000;4473010,0158270000;30-05-14;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;85;301210072
440463,7059930000;4473077,1215030000;30-05-14;01  CENTRO;01-02 EMBAJADORES;MIGUEL SERVET, CALLE, DE;19;301210071
439860,7817060000;4473262,1377830000;29-05-14;01  CENTRO;01-02 EMBAJADORES;MIRA EL RIO BAJA, CALLE, DE;9;301210045
440083,6876450000;4473195,6714380000;29-05-14;01  CENTRO;01-02 EMBAJADORES;MIRA EL SOL, CALLE, DE;15;301210049
440466,5697950000;4473547,7711000000;28-05-14;01  CENTRO;01-02 EMBAJADORES;OLIVAR, CALLE, DEL;32;301210026
440655,8677150000;4473668,7069950000;28-05-14;01  CENTRO;01-02 EMBAJADORES;OLMO, CALLE, DEL;30;301210016
440575,4563950000;4473490,1091000000;28-05-14;01  CENTRO;01-02 EMBAJADORES;PRIMAVERA, CALLE, DE LA;3;301210027
439654,4628360000;4473182,7117070000;29-05-14;01  CENTRO;01-02 EMBAJADORES;PUERTA DE TOLEDO, GLORIETA, DE LA;1;301210046
439974,8784830000;4473218,2417600000;29-05-14;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;18;301210048
440000,6490740000;4473116,8437470000;30-05-14;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;39;301210055
439975,8364290000;4473389,5450840000;28-05-14;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;6;301210025
440764,9596950000;4473478,5971000000;29-05-14;01  CENTRO;01-02 EMBAJADORES;SALITRE, CALLE, DEL;14;301210030
440835,9283990000;4473499,7227580000;29-05-14;01  CENTRO;01-02 EMBAJADORES;SAN COSME Y SAN DAMIAN, CALLE, DE;2;301210032
440820,6760780000;4473618,8812110000;28-05-14;01  CENTRO;01-02 EMBAJADORES;SAN ILDEFONSO, CALLE, DE;1;301210028
439863,3114340000;4473459,3505740000;28-05-14;01  CENTRO;01-02 EMBAJADORES;SANTA ANA, CALLE, DE;10;301210023
440730,9199800000;4473615,7453230000;28-05-14;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;26;301210017
440959,0599970000;4473436,1709660000;29-05-14;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;FRENTE 48 B;301210034
440666,7903580000;4473234,7178020000;29-05-14;01  CENTRO;01-02 EMBAJADORES;SOMBRERERIA, CALLE, DE LA;14 A;301210051
440158,2389975990;4473779,5760720700;30-05-14;01  CENTRO;01-02 EMBAJADORES;TIRSO DE MOLINA, PLAZA, DE;14;301210054
439672,3970810000;4473278,0324660000;29-05-14;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DE;115;301210035
439939,0723309330;4473722,4927387400;28-05-14;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DE;49;301210010
440233,2311990000;4472994,4012340000;30-05-14;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;38;301210069
440656,0070880000;4473585,9892250000;28-05-14;01  CENTRO;01-02 EMBAJADORES;TORRECILLA DEL LEAL, CALLE, DE LA;13;301210018
440695,5187390000;4473479,6984340000;29-05-14;01  CENTRO;01-02 EMBAJADORES;TORRECILLA DEL LEAL, CALLE, DE LA;32;301210031
440611,4720620000;4473157,9725480000;30-05-14;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;15;301210058
440560,4970450000;4473271,5398160000;29-05-14;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;FRENTE 8;301210043
440637,7417410000;4473053,6554210000;30-05-14;01  CENTRO;01-02 EMBAJADORES;VALENCIA, RONDA, DE;2;301210063
441038,6430950000;4473625,4831000000;29-05-14;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;7;301310023
441134,7902500000;4473596,6064190000;29-05-14;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;FRENTE 21;301310025
441071,5489040000;4473524,1259870000;29-05-14;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;115;301310026
440725,5673010000;4473753,3077830000;29-05-14;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;73;301310019
440940,4063230000;4473599,2288670000;29-05-14;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;97;301310024
440644,6204638550;4474523,4907688900;28-03-16;01  CENTRO;01-03 CORTES;CABALLERO DE GRACIA, CALLE, DEL;26;301310028
441122,9341250000;4474028,3851570000;29-05-14;01  CENTRO;01-03 CORTES;CANOVAS DEL CASTILLO, PLAZA, DE;3;301310012
441097,4358600000;4474139,8997220000;29-05-14;01  CENTRO;01-03 CORTES;CANOVAS DEL CASTILLO, PLAZA, DE;5;301310007
441176,7809534840;4473526,8241053900;29-05-14;01  CENTRO;01-03 CORTES;CENICERO, CALLE, DE;11;301310027
440865,3705950000;4473979,8274310000;29-05-14;01  CENTRO;01-03 CORTES;CERVANTES, CALLE, DE;15;301310010
440980,4343270000;4473988,6853260000;29-05-14;01  CENTRO;01-03 CORTES;CERVANTES, CALLE, DE;25;301310011
440411,2806642660;4474060,7010720700;29-05-14;01  CENTRO;01-03 CORTES;ESPOZ Y MINA, CALLE, DE;28;301310009
440981,3162050000;4473906,5378350000;29-05-14;01  CENTRO;01-03 CORTES;JESUS, CALLE, DE;3;301310015
440859,8479120000;4473911,4573390000;29-05-14;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;23;301310014
440953,9415342620;4474350,5546689800;28-05-14;01  CENTRO;01-03 CORTES;LOS MADRAZO, CALLE, DE;28;301310002
440890,3082110000;4474339,9347330000;28-05-14;01  CENTRO;01-03 CORTES;LOS MADRAZO, CALLE, DE;FRENTE 17;301310003
440995,2944210370;4474253,5801677200;28-05-14;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;19;301310005
440983,1556642660;4474408,9510720700;28-05-14;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;2;301310001
440954,0430540000;4473778,8867390000;29-05-14;01  CENTRO;01-03 CORTES;MORATIN, CALLE, DE;35;301310020
440787,1800700000;4474070,2636370000;29-05-14;01  CENTRO;01-03 CORTES;PRADO, CALLE, DEL;25;301310008
441113,1302040000;4473935,7118740000;29-05-14;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;16;301310016
441186,6596150000;4473856,9173930000;29-05-14;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;20;301310018
441175,0401530000;4473924,4555190000;29-05-14;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;FRENTE 11;301310017
440581,4187540000;4474136,6317480000;29-05-14;01  CENTRO;01-03 CORTES;PRINCIPE, CALLE, DEL;12;301310006
441050,7912180000;4473701,8271080000;29-05-14;01  CENTRO;01-03 CORTES;SAN PEDRO, CALLE, DE;14;301310021
440482,4112490000;4473925,3027720000;29-05-14;01  CENTRO;01-03 CORTES;SAN SEBASTIAN, CALLE, DE;FRENTE 2;301310013
441111,5815840000;4473691,6096470000;29-05-14;01  CENTRO;01-03 CORTES;VERONICA, CALLE, DE LA;20;301310022
441196,7302360000;4474884,7097250000;27-05-14;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;21;301410043
441040,2011100000;4474891,5195220000;27-05-14;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;5;301410048
441104,0294300000;4475290,6413050000;26-05-14;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;23;301410012
441050,3023300000;4475196,7343050000;26-05-14;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;9;301410022
440673,9778300000;4474916,0923050000;27-05-14;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;17;301410044
440854,0957850000;4474842,3091020000;27-05-14;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;39;301410046
441274,8556180000;4474970,0299860000;27-05-14;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;14;301410038
441145,5442650000;4475009,6652020000;27-05-14;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;2;301410037
440644,8260690000;4475372,3196310000;26-05-14;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;11;301410009
440981,3283150000;4474736,1185700000;28-05-14;01  CENTRO;01-04 JUSTICIA;BARQUILLO, CALLE, DEL;13;301410052
440992,1394210000;4474568,4968730000;28-05-14;01  CENTRO;01-04 JUSTICIA;BARQUILLO, CALLE, DEL;4;301410057
440921,5920300000;4475064,7533050000;27-05-14;01  CENTRO;01-04 JUSTICIA;BELEN, TRAVESIA, DE;4;301410033
440964,7889740000;4475269,4570880000;26-05-14;01  CENTRO;01-04 JUSTICIA;CAMPOAMOR, CALLE, DE;7;301410014
441021,5051500000;4475343,6500400000;26-05-14;01  CENTRO;01-04 JUSTICIA;CAMPOAMOR, CALLE, DE;FRENTE 18;301410010
440526,2348250000;4475490,0841650000;26-05-14;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;17;301410002
440556,8291860000;4475415,5776200000;26-05-14;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;FRENTE 7;301410008
440890,2286307730;4474728,9397084400;27-05-14;01  CENTRO;01-04 JUSTICIA;COLMENARES, CALLE, DE;13;301410051
