gis_x;gis_y;fecha_alta;fecha_baja;distrito;barrio;calle;num_finca;matricula
439608,1907882330;4473550,0278627100;28/05/2014;;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;1;0301110056
439757,5709535220;4473794,5182208300;27/05/2014;;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;14;0301110042
439724,4730690000;4474317,3719490000;26/05/2014;;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;6;0301110014
439923,6811090000;4474528,8892540000;26/05/2014;;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;11;0301110012
439735,2317480000;4474489,9585980000;26/05/2014;;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;8;0301110010
439232,9841766630;4473818,0719398400;27/05/2014;;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;0301110032
439622,7569039360;4473423,0306175300;28/05/2014;;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;17;0301110064
439549,6164080680;4473438,8364026500;28/05/2014;;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;29;0301110063
439479,2651683980;4473481,5016919100;28/05/2014;;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;0301110046
439834,9469865800;4474517,9686340600;26/05/2014;;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;8;0301110011
439885,3223309330;4473783,4094054000;27/05/2014;;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;6;0301110041
439775,1329369930;4473743,0719398400;27/05/2014;;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;34;0301110045
439778,7486394730;4473597,8240059600;28/05/2014;;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;0301110058
439834,8436807950;4473661,7702869500;27/05/2014;29/06/2020;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;0301110049
439819,5452090000;4473647,6337040000;27/05/2014;;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;0301110048
439351,2693006300;4473878,4025183500;27/05/2014;;01  CENTRO;01-01 PALACIO;CIEGOS, CUESTA, DE LOS;S/N;0301110031
439153,1012452810;4474042,2378287500;28/05/2014;;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;0301120022
438968,1585284230;4474047,6933661300;01/07/2014;;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;0301120021
439765,7321105470;4473972,8240059600;26/05/2014;;01  CENTRO;01-01 PALACIO;CORDON, PLAZA, DEL;3;0301110030
439308,7417524200;4473344,2427387400;28/05/2014;;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;0301110069
439715,6288047620;4474900,3033448000;26/05/2014;;01  CENTRO;01-01 PALACIO;DOCTOR CARRACIDO, CALLE, DEL;2;0301110002
439510,6701270760;4473694,6215266200;27/05/2014;;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;12;0301110044
439363,0409850000;4473727,7498540000;27/05/2014;;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;20;0301110035
439693,3179710000;4474587,8144370000;26/05/2014;;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;2;0301110009
439631,1246725310;4474662,9066505800;26/05/2014;;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;0301110007
439814,3891353410;4474304,9521051300;26/05/2014;;01  CENTRO;01-01 PALACIO;ESCALINATA, CALLE, DE LA;11;0301110013
439545,7940940180;4474176,5430142200;26/05/2014;;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;10;0301110017
439718,1791390000;4474760,2235020000;26/05/2014;;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;16;0301110004
439902,7155816220;4473831,2950803400;27/05/2014;;01  CENTRO;01-01 PALACIO;GRAFAL, CALLE, DE;7;0301110040
439545,6374944230;4473293,6732361800;28/05/2014;;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;6;0301110072
439524,4070589660;4473280,6560348800;28/05/2014;;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;7;0301110073
